Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Run,Firefox 52.0,,2018-07-02 20:30:17,2018-07-02 22:36:00,2h - 5m - 43.364s,FAILED
,,,,,,
Test Cases/DDS-2052/DDS-3844,Firefox 52.0,,2018-07-02 20:30:17,2018-07-02 20:32:09,1m - 52.151s,FAILED
callTestCase,Firefox 52.0,,2018-07-02 20:30:17,2018-07-02 20:30:57,39.513s,PASSED
delay,Firefox 52.0,,2018-07-02 20:30:57,2018-07-02 20:31:17,20.008s,PASSED
click,Firefox 52.0,,2018-07-02 20:31:17,2018-07-02 20:31:21,4.321s,PASSED
click,Firefox 52.0,,2018-07-02 20:31:21,2018-07-02 20:31:21,0.099s,PASSED
doubleClick,Firefox 52.0,,2018-07-02 20:31:21,2018-07-02 20:31:21,0.236s,PASSED
sendKeys,Firefox 52.0,,2018-07-02 20:31:21,2018-07-02 20:31:22,0.147s,PASSED
doubleClick,Firefox 52.0,,2018-07-02 20:31:22,2018-07-02 20:31:22,0.083s,PASSED
delay,Firefox 52.0,,2018-07-02 20:31:22,2018-07-02 20:31:27,5.001s,PASSED
back,Firefox 52.0,,2018-07-02 20:31:27,2018-07-02 20:31:27,0.266s,PASSED
delay,Firefox 52.0,,2018-07-02 20:31:27,2018-07-02 20:31:37,10.002s,PASSED
doubleClick,Firefox 52.0,,2018-07-02 20:31:37,2018-07-02 20:31:37,0.209s,PASSED
doubleClick,Firefox 52.0,,2018-07-02 20:31:37,2018-07-02 20:31:37,0.212s,PASSED
doubleClick,Firefox 52.0,,2018-07-02 20:31:37,2018-07-02 20:32:09,31.715s,FAILED
,,,,,,
Test Cases/DDS-2052/DDS-3845,Firefox 52.0,,2018-07-02 20:32:09,2018-07-02 20:32:09,0.098s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:32:09,2018-07-02 20:32:09,0.001s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS-3856,Firefox 52.0,,2018-07-02 20:32:09,2018-07-02 20:33:49,1m - 39.456s,FAILED
callTestCase,Firefox 52.0,,2018-07-02 20:32:09,2018-07-02 20:32:29,19.287s,PASSED
delay,Firefox 52.0,,2018-07-02 20:32:29,2018-07-02 20:32:39,10.002s,PASSED
doubleClick,Firefox 52.0,,2018-07-02 20:32:39,2018-07-02 20:32:49,10.105s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementAttributeValue(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Cart Page/Empty Cart Button), ""ng-reflect-is-disabled"", ""false"", 5) == true)",Firefox 52.0,,2018-07-02 20:32:49,2018-07-02 20:32:54,5.800s,PASSED
back,Firefox 52.0,,2018-07-02 20:32:54,2018-07-02 20:32:55,0.235s,PASSED
delay,Firefox 52.0,,2018-07-02 20:32:55,2018-07-02 20:33:05,10.003s,PASSED
sendKeys,Firefox 52.0,,2018-07-02 20:33:05,2018-07-02 20:33:18,12.955s,PASSED
click,Firefox 52.0,,2018-07-02 20:33:18,2018-07-02 20:33:18,0.243s,PASSED
delay,Firefox 52.0,,2018-07-02 20:33:18,2018-07-02 20:33:48,30.005s,PASSED
click,Firefox 52.0,,2018-07-02 20:33:48,2018-07-02 20:33:49,0.680s,FAILED
,,,,,,
Test Cases/DDS-2052/DDS-3864,Firefox 52.0,,2018-07-02 20:33:49,2018-07-02 20:34:54,1m - 5.198s,FAILED
callTestCase,Firefox 52.0,,2018-07-02 20:33:49,2018-07-02 20:34:29,40.034s,PASSED
waitForElementClickable,Firefox 52.0,,2018-07-02 20:34:29,2018-07-02 20:34:50,20.885s,PASSED
click,Firefox 52.0,,2018-07-02 20:34:50,2018-07-02 20:34:50,0.146s,PASSED
click,Firefox 52.0,,2018-07-02 20:34:50,2018-07-02 20:34:50,0.190s,PASSED
click,Firefox 52.0,,2018-07-02 20:34:50,2018-07-02 20:34:50,0.144s,PASSED
delay,Firefox 52.0,,2018-07-02 20:34:50,2018-07-02 20:34:52,2.001s,PASSED
sendKeys,Firefox 52.0,,2018-07-02 20:34:52,2018-07-02 20:34:52,0.225s,PASSED
click,Firefox 52.0,,2018-07-02 20:34:52,2018-07-02 20:34:53,0.696s,PASSED
waitForElementVisible,Firefox 52.0,,2018-07-02 20:34:53,2018-07-02 20:34:53,0.037s,PASSED
click,Firefox 52.0,,2018-07-02 20:34:53,2018-07-02 20:34:53,0.090s,PASSED
